blood_bank_transfusions|idx_blood_bank_transfusions_tenant_unit|CREATE INDEX idx_blood_bank_transfusions_tenant_unit ON public.blood_bank_transfusions USING btree (tenant_id, unit_id)
blood_bank_units|blood_bank_units_pkey|CREATE UNIQUE INDEX blood_bank_units_pkey ON public.blood_bank_units USING btree (id)
blood_bank_units|idx_blood_bank_units_tenant|CREATE INDEX idx_blood_bank_units_tenant ON public.blood_bank_units USING btree (tenant_id)
blood_bank_units|idx_blood_bank_units_tenant_expiry|CREATE INDEX idx_blood_bank_units_tenant_expiry ON public.blood_bank_units USING btree (tenant_id, expiry_date, status)
branches|branches_pkey|CREATE UNIQUE INDEX branches_pkey ON public.branches USING btree (id)
burn_assessments|burn_assessments_pkey|CREATE UNIQUE INDEX burn_assessments_pkey ON public.burn_assessments USING btree (id)
burn_assessments|idx_burn_assessments_patient|CREATE INDEX idx_burn_assessments_patient ON public.burn_assessments USING btree (tenant_id, patient_id)
burn_resuscitation_logs|burn_resuscitation_logs_pkey|CREATE UNIQUE INDEX burn_resuscitation_logs_pkey ON public.burn_resuscitation_logs USING btree (id)
cardiac_medications|cardiac_medications_pkey|CREATE UNIQUE INDEX cardiac_medications_pkey ON public.cardiac_medications USING btree (id)
cardiac_medications|idx_cardio_meds_patient|CREATE INDEX idx_cardio_meds_patient ON public.cardiac_medications USING btree (patient_id)
cardio_thoracic_metrics|cardio_thoracic_metrics_pkey|CREATE UNIQUE INDEX cardio_thoracic_metrics_pkey ON public.cardio_thoracic_metrics USING btree (id)
cardiology_cath_reports|cardiology_cath_reports_pkey|CREATE UNIQUE INDEX cardiology_cath_reports_pkey ON public.cardiology_cath_reports USING btree (id)
cardiology_cath_reports|idx_cardio_cath_tenant|CREATE INDEX idx_cardio_cath_tenant ON public.cardiology_cath_reports USING btree (tenant_id, facility_id, patient_id)
cardiology_procedures|cardiology_procedures_pkey|CREATE UNIQUE INDEX cardiology_procedures_pkey ON public.cardiology_procedures USING btree (id)
cardiology_procedures|idx_cardiology_procedures_patient|CREATE INDEX idx_cardiology_procedures_patient ON public.cardiology_procedures USING btree (tenant_id, patient_id)
cardiology_visits|cardiology_visits_pkey|CREATE UNIQUE INDEX cardiology_visits_pkey ON public.cardiology_visits USING btree (id)
cardiology_visits|idx_cardio_visits_patient|CREATE INDEX idx_cardio_visits_patient ON public.cardiology_visits USING btree (patient_id)
clinical_departments|clinical_departments_pkey|CREATE UNIQUE INDEX clinical_departments_pkey ON public.clinical_departments USING btree (id)
clinical_departments|uq_clinical_dept_tenant_code|CREATE UNIQUE INDEX uq_clinical_dept_tenant_code ON public.clinical_departments USING btree (tenant_id, code)
clinical_incidents|clinical_incidents_pkey|CREATE UNIQUE INDEX clinical_incidents_pkey ON public.clinical_incidents USING btree (id)
clinical_knowledge_vectors|clinical_knowledge_vectors_pkey|CREATE UNIQUE INDEX clinical_knowledge_vectors_pkey ON public.clinical_knowledge_vectors USING btree (id)
clinical_knowledge_vectors|idx_ckv_tenant|CREATE INDEX idx_ckv_tenant ON public.clinical_knowledge_vectors USING btree (tenant_id)
clinical_notes|clinical_notes_pkey|CREATE UNIQUE INDEX clinical_notes_pkey ON public.clinical_notes USING btree (id)
clinical_notes|idx_clinical_notes_encounter_ref|CREATE INDEX idx_clinical_notes_encounter_ref ON public.clinical_notes USING btree (encounter_ref)
